회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458119&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,신입·경력,초대졸↑,정규직,~ 12/31(화),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/25",IT개발·데이터 지원 TOP100
마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49167327&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,신입,대졸↑,정규직,내일마감,"Python, Java, 솔루션, 웹개발, 앱개발 외                    수정일 24/12/05",IT개발·데이터 지원 TOP100
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,신입·경력,대졸↑,정규직,~ 12/20(금),"Python, 딥러닝, 머신러닝, 빅데이터, 데이터분석가 외                    등록일 24/11/20",인기있는
㈜칸테크,ORACLE/PYTHON/JAVA/SQL 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545109&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,초대졸↑,정규직,~ 01/05(일),"Python, Java, 솔루션, 웹개발, 데이터시각화 외                    등록일 24/12/06",IT개발·데이터 지원 TOP100
플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463011&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,학력무관,정규직·계약직,~ 12/25(수),"Python, Java, AWS, DBA, SI개발 외                    등록일 24/11/25",인기있는
(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537488&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 성동구,신입·경력,학력무관,정규직·계약직,~ 01/04(토),"Python, 솔루션, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/05",인기있는
행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476675&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 양천구,경력3년↑,초대졸↑,정규직,~ 01/25(토),"Python, 딥러닝, AWS, 솔루션, 머신러닝 외                    수정일 24/12/06",재택근무
(주)꿈선생,"[DealMakers] BE, Python Software Engineer 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535457&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,부산 남구,경력무관,학력무관,정규직,~ 01/04(토),"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/05",인기있는
(주)케이엘피,파이썬(Python) 크롤링 가능하신분 구합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510655&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,~ 12/11(수),"Python, AWS, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/02",급성장중
(주)케이엘피,파이썬(Python) 백엔드 개발자 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535988&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 앱개발, 프론트엔드 외                    수정일 24/12/05",급성장중
(주)만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472340&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 안양시 동안구,경력무관,대졸↑,정규직,채용시,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/11/26",재택근무
씨맥스주식회사,"[AI개발]Python,Java,사내 LLM 구축 숙련 개발자 구인[프리O]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532014&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,경기 성남시 분당구,경력5년↑,학력무관,기간제·계약직,~ 01/04(토),"Python, Java, 머신러닝, 웹개발, 백엔드/서버개발 외                    수정일 24/12/06",
(주)파이오링크,"[코스닥상장사] L4-L7 스위치 개발 Linux,Python,C(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 금천구,신입·경력,학력무관,정규직,~ 12/14(토),"Python, C++, 솔루션, Linux, 빅데이터 외                    수정일 24/11/27",연봉상승률 10% 이상
(주)엘리스그룹,백엔드 엔지니어 (Python) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49383748&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4e560d66-63a2-4a77-b67b-4050b05fa43f,서울 강남구,경력 3~5년,대졸↑,정규직,~ 12/12(목),"Python, Java, Linux, 백엔드/서버개발, RDBMS 외                    수정일 24/11/13",취업축하금
