company,title,location,salary,description
(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",서울 금천구,연봉상승률 10% 이상,"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/25"
마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,서울 강남구,"평균연봉 6,000 이상","Python, Java, 솔루션, 웹개발, 앱개발 외                    수정일 24/12/13"
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",서울 강남구,인기있는,"Python, 딥러닝, 머신러닝, 빅데이터, 데이터분석가 외                    수정일 24/12/09"
㈜칸테크,ORACLE/PYTHON/JAVA/SQL 개발자 모집,서울 강남구,IT개발·데이터 지원 TOP100,"Python, Java, 솔루션, 웹개발, 데이터시각화 외                    등록일 24/12/06"
조베이스(주),[솔루션] 백엔드 개발자 모집(python),서울 강남구,인기있는,"Python, C++, Java, 솔루션, 빅데이터 외                    등록일 24/12/09"
(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),서울 성동구,급성장중,"Python, 솔루션, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/05"
행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,서울 양천구,인기있는,"Python, 딥러닝, 솔루션, AWS, 머신러닝 외                    수정일 24/12/13"
(주)케이엘피,파이썬(Python) 크롤링 가능하신분 구합니다.,서울 강남구,급성장중,"Python, AWS, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/12"
플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,서울 강남구,인기있는,"Python, Java, AWS, DBA, SI개발 외                    등록일 24/11/25"
(주)만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",경기 안양시 동안구,IT개발·데이터 스크랩 급상승,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/12/13"
(주)엑스오비스,Python 개발 연구원 채용,서울 강남구,취업축하금,"Python, 딥러닝, 솔루션, 머신러닝, 빅데이터 외                    등록일 24/12/11"
(주)에프아이솔루션,[Python 프로그래밍] 백엔드/서버개발 경력직 모집,서울 금천구,인기있는,"Python, 백엔드/서버개발, 클라우드, API, 인터페이스 외                    수정일 24/12/13"
(주)엘리스그룹,백엔드 엔지니어 (Python) 채용,서울 강남구,취업축하금,"Python, Java, Linux, 백엔드/서버개발, RDBMS 외                    수정일 24/12/13"
(주)사람인에이치에스,[강남/5000천이상] 플랫폼 백엔드 개발 (Python) 정규직,서울 강남구,,"Python, 솔루션, AWS, 빅데이터, 웹개발 외                    수정일 24/12/13"
아일리스프런티어(주),AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),서울 종로구,연봉상승률 20% 이상,"Python, 딥러닝, 머신러닝, 백엔드/서버개발, 알고리즘 외                    수정일 24/11/13"
(주)링크제니시스,차량용 S/W Test 자동화 검증(Python),인천 서구,프리한 복장,"Python, C++, Java, QA/테스터, S/W 외                    등록일 24/11/15"
(주)데이터다이나믹스,정규 Python/Data Engineer (신입/경력) 채용,경기 용인시 수지구,급성장중,"Python, AWS, Linux, 빅데이터, 클라우드 외                    등록일 24/11/25"
(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",서울 영등포구,연봉상승률 10% 이상,"Python, 웹개발, 백엔드/서버개발, S/W, Django 외                    수정일 24/11/22"
(주)씨에스엠17,NestJS+Python 백엔드 개발자 팀장 채용,서울 금천구,취업축하금,"Python, C++, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/12/04"
올거나이즈코리아(주),Python Back-end Engineer,서울 강남구,취업축하금,"Python, 딥러닝, AWS, 머신러닝, 웹개발 외                    등록일 24/12/09"
(주)크립토랩,소프트웨어 엔지니어 인턴 모집 (Python),서울 관악구,시리즈A 투자유치,"Python, 머신러닝, Linux, S/W, SDK 외                    수정일 24/11/20"
(주)꿈선생,"[DealMakers] BE, Python Software Engineer 모집",부산 남구,유연근무제,"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/05"
(주)세븐미어캣,세븐미어캣  Python 백엔드 개발자 인재채용,경기 시흥시,Seed 투자유치,"Python, Linux, 웹개발, 백엔드/서버개발, 유지보수 외                    수정일 24/12/13"
(주)디지키,(주)디지키 Python 데이터 처리 및 분석 프로그램 개발자 모집,경기 안양시 만안구,급성장중,"Python, 알고리즘, Pandas, 솔루션업체, 소프트웨어개발 등록일 24/10/24"
(주)한국미용데이터,"파이썬(Python, AWS) 경력 개발자 채용",서울 관악구,급성장중,"Python, 솔루션, AWS, 웹개발, 백엔드/서버개발 외                    등록일 24/12/02"
NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",서울 강남구,재택근무,"Python, C++, ASP, ASP.NET, Azure 외                    등록일 24/11/21"
주식회사비전코어,파이썬(Python) 및 앱(ios/안드로이드) 개발자 모집,대구 동구,프리한 복장,"Python, 솔루션, iOS, 소프트웨어개발 수정일 24/12/09"
(주)기가스,"[경력] Payment Service 개발팀 백엔드/Python,Django 정규직",대구 수성구,자유로운 연차,"Python, 솔루션, 웹개발, 백엔드/서버개발, Django 외                    수정일 24/10/31"
(주)케이텍,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",경북 포항시 남구,연봉상승률 15% 이상,"Python, C++, SE(시스템엔지니어), SI개발, 알고리즘 외                    수정일 24/12/03"
오에스원(OS1),[웹개발] Python 백엔드/서버 인턴 개발자 채용 (ASAP),서울 중구,재택근무,"Python, 웹개발, 백엔드/서버개발, API, Pandas 외                    등록일 24/11/28"
씨맥스주식회사,"[AI개발]Python,Java,사내 LLM 구축 숙련 개발자 구인[프리O]",경기 성남시 분당구,,"Python, Java, 머신러닝, 웹개발, 백엔드/서버개발 외                    수정일 24/12/06"
(주)이노룰스,"[AI디지털플랫폼팀] 웹개발자(Python, React, 경력 5년 이상) 경력직 채용",서울전체,취업축하금,"Python, 솔루션, 머신러닝, 웹개발, 백엔드/서버개발 외                    등록일 24/11/15"
(주)한영넉스,한영넉스 AI연구소 - Python 어플리케이션 개발자 채용,서울 영등포구,,"Python, C++, Linux, Windows, 임베디드리눅스 외                    수정일 24/12/10"
에스트래픽(주),에스트래픽 Python 개발자 모집 (경력),경기 성남시 수정구,,"Python, 백엔드/서버개발, SI개발, Git, Redis 외                    수정일 24/12/05"
에이치에스소프트(주),Python개발자 채용(경력),인천 연수구,연봉상승률 30% 이상,"Python, 솔루션, 알고리즘, AI(인공지능), OpenCV 외                    등록일 24/11/27"
(주)애드크림,국내 광고 포털 유지 보수 및 신규 서비스 개발 (Python),서울 강남구,,"Python, 웹개발, 백엔드/서버개발, API, ASP 외                    등록일 24/11/18"
(주)파운트,[금융/핀테크/Python] 백엔드 엔지니어(리드급),서울 중구,시리즈C 투자유치,"Python, AWS, 웹개발, 앱개발, 프론트엔드 외                    수정일 24/12/13"
(주)판도라티비,"코박(Cobak) 백엔드 개발자 [3년 이상](Python,Django)",경기전체,취업축하금,"Python, AWS, 웹개발, 백엔드/서버개발, Django 외                    등록일 24/12/03"
(주)바로팜,백엔드 개발자 (Python),서울 강남구,취업축하금,"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/11/25"
(주)케파스,국가연구과제 SI 개발자 모집(Java/Python/React/SpringBoot),서울 강남구,연봉상승률 30% 이상,"Python, Java, 웹개발, Javascript, React 외                    등록일 24/12/09"
(주)에이젠글로벌,Python BackEnd Developer,서울전체,취업축하금,"Python, AWS, 머신러닝, 웹개발, 백엔드/서버개발 외                    등록일 24/11/20"
리걸테크(주),"웹개발자(Python, DJango)",서울 성동구,취업축하금,"Python, 웹개발, 백엔드/서버개발, 블록체인, Django 외                    등록일 24/11/25"
(주)비비파트너스,"C#,C++,Python 프로그래머 모집(판교)",경기 성남시 분당구,,"Python, C++, 솔루션, 머신러닝, 데이터분석가 외                    등록일 24/12/04"
(주)제이투이,[Python SI 판교] 문서 비교 시스템 개선   (3),경기 성남시 분당구,,"Python, AWS, 웹개발, Django, PostgreSQL 외                    수정일 24/11/29"
(주)스카우트파트너스,데이터사이언티스트(AI.ML.딥러닝.대용량데이터.SQL.Python),서울 강남구,성과급/상여금,"Python, 딥러닝, 머신러닝, 빅데이터, 데이터분석가 외                    수정일 24/12/12"
아이디벨롭 주식회사,[ Backend] 경력직 Python 개발자 채용,서울 강남구,,"Python, 솔루션, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/12/13"
화랑,Vision/MFC/C# Python Tensorflow CUDA yolo v8 개발직,충남 천안시 동남구,프리한 복장,"Python, C++, 솔루션, DBMS, S/W 외                    등록일 24/11/08"
(주)도로시,[(주)도로시] QGIS 플러그인 파이썬(Python) 개발자 모집,서울 금천구,급성장중,"Python, 웹개발, PostgreSQL, QGIS, 플러그인 외                    수정일 24/12/09"
(주)스톤빌드,Python을 이용한 Data Migration,서울 강서구,,"Python, 데이터엔지니어, OracleDB, PostgreSQL, SQL 외                    등록일 24/12/09"
코리아써치,AI 솔루션 백엔드(Python) 개발자 채용,서울 송파구,,"Python, 딥러닝, 솔루션, 머신러닝, AI(인공지능) 외                    등록일 24/12/13"
(주)미니레코드,(주식회사 미니레코드) Python 개발자 채용,서울 송파구,급성장중,"Python, 딥러닝, AWS, 머신러닝, 유지보수 외                    등록일 24/11/14"
(주)데이터트리,[경력AI 개발] Full stack 개발자/React/Python,서울 금천구,유연근무제,"Python, Java, 솔루션, 머신러닝, 빅데이터 외                    등록일 24/11/24"
(주)펫박스,Python 백엔드 개발자,서울 마포구,취업축하금,"Python, AWS, 웹개발, 백엔드/서버개발, 프론트엔드 외                    등록일 24/11/29"
(주)뮤즈라이브,Back-End Engineer (Python/Django),서울 마포구,취업축하금,"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/12/04"
한단제어기술,"PC 제어프로그래머 (C, C++, C#, Python)",경기 안양시 동안구,,"Python, C++, SE(시스템엔지니어), 라즈베리파이, 로봇엔지니어 외                    수정일 24/12/09"
에이치알포유(주),[IT 솔루션 및 통합서비스 전문기업] 파이썬(Python) 개발자,서울 강남구,,"Python, Java, 솔루션, AWS, 데이터엔지니어 외                    등록일 24/12/14"
사이테크놀로지스(주),C와 Python 개발을 담당할 분을 구합니다,대전 대덕구,급성장중,"Python, 개발PM, 임베디드, 하드웨어 등록일 24/12/05"
(주)버블콘,(주)버블콘 백엔드 개발 PL/PM (Python) 경력직 채용,서울 구로구,워라밸,"Python, 솔루션업체 등록일 24/12/02"
프라이스원,Python/Django 백엔드 개발자,서울 강남구,,"웹개발, 백엔드/서버개발, Django, Docker, MySQL 외                    수정일 24/12/10"
(사)한국아이씨티기술협회,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,서울전체,연봉상승률 30% 이상,"Python, Java, 솔루션, AWS, 빅데이터 외                    수정일 24/12/13"
(주)마루에이치알,"[현대캐피탈/금융기획팀] 데이터분석 및 관리(통계/파이썬,SQL)",서울 중구,금융·보험 지원 TOP100,"Python, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화 외                    수정일 24/12/12"
에이스휴먼파워(주),"[여의도/338만] 한국평가데이터 DB분석 및 컨설팅 (SQL,파이썬)",서울 영등포구,인기있는,"Python, Java, 딥러닝, 머신러닝, 빅데이터 외                    수정일 24/12/13"
(주)쇼엠,[인천 송도 근무] 파이썬 개발자 사원 채용,인천 연수구,인기있는,"Python, C++, Java, 솔루션, AWS 외                    수정일 24/12/09"
(주)데이터앤솔루션,"[경력,신입] 파이썬 개발자 정직원 모집(솔루션본부)",서울 서초구,IT개발·데이터 지원 급상승,"Python, 알고리즘, Keras, Pytorch, Tensorflow 외                    수정일 24/12/11"
이다웰(주),파이썬 활용가능 데이터 분석가 모집,경기 용인시 기흥구,연봉상승률 15% 이상,"데이터분석가, 소프트웨어개발 등록일 24/11/30"
(주)뉴로다임,파이썬 프로그램 개발자,서울 성동구,취업축하금,"Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    등록일 24/12/04"
(주)아이이에이,대기업 서비스 스벨트/파이썬 개발자 채용,서울 강서구,급성장중,"Python, 웹개발, 백엔드/서버개발, SI개발, Javascript 외                    수정일 24/12/11"
(주)알로카도스,시니어 파이썬 백엔드 엔지니어 채용,서울 강남구,취업축하금,"Python, AWS, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/11/19"
(주)아이젝스,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,서울 금천구,연봉상승률 10% 이상,"Python, MacOS, 네트워크, 솔루션업체, 소프트웨어개발 등록일 24/11/29"
(주)댄디테크앤리얼티,"파이썬 개발자 경력직 모집, AI vision 경험자 우대",서울 마포구,급성장중,"Python, 딥러닝, 솔루션, 신경망, 컴퓨터비전 외                    수정일 24/12/01"
링크루트,[유망 스타트업] [경력] 백엔드 개발자 채용 (파이썬),서울 관악구,재택근무,"Python, AWS, 백엔드/서버개발, 프론트엔드, Django 외                    등록일 24/10/21"
(주)세종교육,파이썬 개발자 과정 강사 채용,경기 성남시,취업축하금,"보조강사, 파트강사, 학원강사, 학원보조, IT강사 외                    수정일 24/12/10"
동원컴퓨터학원,"전산회계/세무2급, 파이썬(코딩), 오토캐드 강사 모집",경남 김해시,,"파트강사, 훈련교사, IT강사, 전산회계, 코딩 외                    등록일 24/12/04"
더조은컴퓨터아카데미종로,"[NCS 훈련교사] 빅데이터(파이썬)엘러스틱서치,자바웹 전문강사",서울 종로구,,"직업훈련, 컴퓨터교육, 훈련교사, IT학원 등록일 24/11/15"
캐논코리아 주식회사,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,서울 강남구,디자인 지원 TOP100,"Python, C++, Java, 솔루션, Linux 외                    수정일 24/12/05"
(주)우진플라임,㈜우진플라임 부문별 인재채용,충북 보은군,구매·자재·물류 지원 TOP100,"Python, C++, Java, 웹개발, 게임개발 외                    수정일 24/12/13"
(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,서울 강서구,미디어·문화·스포츠 지원 TOP100,"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/20"
디아이티(주),2024년 하반기 각 부문별 신입/경력 채용,경기 화성시,건설·건축 지원 TOP100,"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/11"
